liga,norma,elemento,min_pct,max_pct
A356,AA/ASTM B26,Si,6.5,7.5
A356,AA/ASTM B26,Mg,0.25,0.45
A356,AA/ASTM B26,Fe,0,0.20
A356,AA/ASTM B26,Cu,0,0.20
A356,AA/ASTM B26,Mn,0,0.10
A356,AA/ASTM B26,Zn,0,0.10
A356,AA/ASTM B26,Ti,0,0.20
